date,daily_clones,daily_unique_cloners
2025-11-11,9,6
2025-11-12,15,9
2025-11-13,16,13
2025-11-14,27,13
2025-11-15,3,2
2025-11-16,1,1
2025-11-17,4,4
2025-11-18,5,5
2025-11-19,8,5
2025-11-20,0,0
2025-11-21,1,1
2025-11-22,3,3
2025-11-23,1,1
2025-11-24,44,30
2025-11-25,8,8
2025-11-26,5,5
2025-11-27,5,5
2025-11-28,5,5
2025-11-29,5,5
2025-11-30,4,4
2025-12-01,27,16
2025-12-02,47,22
2025-12-03,156,59
2025-12-04,8,7
2025-12-05,21,17
2025-12-06,4,3
2025-12-07,6,5
2025-12-08,13,9
2025-12-09,20,13
2025-12-10,6,5
2025-12-11,3,3
2025-12-12,8,7
2025-12-13,4,3
2025-12-14,4,3
2025-12-15,6,5
2025-12-16,7,5
2025-12-17,6,5
2025-12-18,18,15
2025-12-19,15,13
2025-12-20,6,5
2025-12-21,6,5
2025-12-22,5,4
2026-02-03,17,12
2026-02-04,35,24
2026-02-05, ,
2026-02-06, 2, 2
